sjoid,lake,file,expectedKey
638325-138979,"Abborragöl",3-5482_Aborragöl_638325-138979.tif,svar/zips/Abborrag_l/638325-138979-kartor/web/tiles-3-5482_Aborragol_638325-138979.dzi
643063-129139,"Abborresjön",3-0930_Abborresjön_643063-129139.tif,svar/zips/Abborresj_n/643063-129139-kartor/web/tiles-3-0930_Abborresjon_643063-129139.dzi
625286-141089,"Abborrasjön",3-6476_Abborrasjön_625286-141089.jpg,svar/zips/Abborrasj_n/625286-141089-kartor/web/tiles-3-6476_Abborrasjon_625286-141089.dzi
636822-134624,"Abborrasjön",3-6639_Abborrasjön_636822-134624.jpg,svar/zips/Abborrasj_n/636822-134624-kartor/web/tiles-3-6639_Abborrasjon_636822-134624.dzi
625069-145129,"Abborrasjön",3-2967_Abborrasjön_625069-145129.tif,svar/zips/Abborrasj_n/625069-145129-kartor/web/tiles-3-2967_Abborrasjon_625069-145129.dzi
639270-130713,"Abborrsjö",3-5248_Abborrsjö_639270-130713.tif,svar/zips/Abborrsj_/639270-130713-kartor/web/tiles-3-5248_Abborrsjo_639270-130713.dzi
640260-131004,"Abborrsjön",3-3901_Abborrsjön_640260-131004a.tif,svar/zips/Abborrsj_n/640260-131004-kartor/web/tiles-3-3901_Abborrsjon_640260-131004a.dzi
625286-141089,"Abborrasjön",3-6476_Abborrasjön_625286-141089.tif,svar/zips/Abborrasj_n/625286-141089-kartor/web/tiles-3-6476_Abborrasjon_625286-141089.dzi
638121-128714,"Abborrtjärn",3-2704_Abborrtjärn_638121-128714.tif,svar/zips/Abborrtj_rn/638121-128714-kartor/web/tiles-3-2704_Abborrtjarn_638121-128714.dzi
653179-124853,"Abborrvattnet",3-4267_Abborrvattnet_653179-124853.tif,svar/zips/Abborrvattnet/653179-124853-kartor/web/tiles-3-4267_Abborrvattnet_653179-124853.dzi
639791-131788,"Abborrsjön",2-0700_Abborrsjön_639791-131788.tif,svar/zips/Abborrsj_n/639791-131788-kartor/web/tiles-2-0700_Abborrsjon_639791-131788.dzi
635365-129646,"Abborravattnet",3-2841_Abborravattnet_635365-129646.tif,svar/zips/Abborravattnet/635365-129646-kartor/web/tiles-3-2841_Abborravattnet_635365-129646.dzi
636822-134624,"Abborrasjön",3-6639_Abborrasjön_636822-134624.tif,svar/zips/Abborrasj_n/636822-134624-kartor/web/tiles-3-6639_Abborrasjon_636822-134624.dzi
640260-131004,"Abborrsjön",3-3901_Abborrsjön_640260-131004b.tif,svar/zips/Abborrsj_n/640260-131004-kartor/web/tiles-3-3901_Abborrsjon_640260-131004b.dzi
636024-140633,"Abborrasjön",3-5386_Aborrasjön_636024-140633.tif,svar/zips/Abborrasj_n/636024-140633-kartor/web/tiles-3-5386_Aborrasjon_636024-140633.dzi
648295-137398,"Acksjön",3-1470_Acksjön_648295-137398.tif,svar/zips/Acksj_n/648295-137398-kartor/web/tiles-3-1470_Acksjon_648295-137398.dzi
655420-159049,"Acksjön",3-1877_Acksjon_655420-159049.tif,svar/zips/Acksj_n/655420-159049-kartor/web/tiles-3-1877_Acksjon_655420-159049.dzi
633666-136711,"Acksjön",3-4574_Acksjön_633666-136711.tif,svar/zips/Acksj_n/633666-136711-kartor/web/tiles-3-4574_Acksjon_633666-136711.dzi
641655-135334,"Agnsjö",3-4763_Agnsjö_641655-135334.tif,svar/zips/Agnsj_/641655-135334-kartor/web/tiles-3-4763_Agnsjo_641655-135334.dzi
625914-148075,"Agnsjön",3-5572_Agnasjön_625914-148075.tif,svar/zips/Agnsj_n/625914-148075-kartor/web/tiles-3-5572_Agnasjon_625914-148075.dzi
637224-128547,"Agnsjön",3-0891_Agnsjön_637224-128547.tif,svar/zips/Agnsj_n/637224-128547-kartor/web/tiles-3-0891_Agnsjon_637224-128547.dzi
635724-140483,"Agnsjön",3-5396_Agnsjön_635724-140483.tif,svar/zips/Agnsj_n/635724-140483-kartor/web/tiles-3-5396_Agnsjon_635724-140483.dzi
629050-139932,"Agunnarydsjön",3-0816_Agunnarydsjön_629050-139932.tif,svar/zips/Agunnarydsj_n/629050-139932-kartor/web/tiles-3-0816_Agunnarydsjon_629050-139932.dzi
634812-137735,"Albosjön",5-0001_Albosjön_634812-137735.pdf,svar/zips/Albosj_n/634812-137735-kartor/web/tiles-5-0001_Albosjon_634812-137735.dzi
623935-135724,"Algustorpasjön",3-5843_Algustorpasjön_623935-135724a.tif,svar/zips/Algustorpasj_n/623935-135724-kartor/web/tiles-3-5843_Algustorpasjon_623935-135724a.dzi
655152-159244,"Akaren",3-1749_Akaren_655152-159244.tif,svar/zips/Akaren/655152-159244-kartor/web/tiles-3-1749_Akaren_655152-159244.dzi
633094-137061,"Agnsjön",3-5316_Agnsjön_633094-137061.tif,svar/zips/Agnsj_n/633094-137061-kartor/web/tiles-3-5316_Agnsjon_633094-137061.dzi
638673-128186,"Agnsjön",3-0903_Agnsjön_638673-128186.tif,svar/zips/Agnsj_n/638673-128186-kartor/web/tiles-3-0903_Agnsjon_638673-128186.dzi
642489-151724,"Allgjuttern",3-3378_Allgjuttern_642489-151724.tif,svar/zips/Allgjuttern/642489-151724-kartor/web/tiles-3-3378_Allgjuttern_642489-151724.dzi
623935-135724,"Algustorpasjön",3-5843_Algustorpasjön_623935-135724b.tif,svar/zips/Algustorpasj_n/623935-135724-kartor/web/tiles-3-5843_Algustorpasjon_623935-135724b.dzi
636801-136926,"Algustorpasjön",5-0002_Algustorpasjön_636801-136926.pdf,svar/zips/Algustorpasj_n/636801-136926-kartor/web/tiles-5-0002_Algustorpasjon_636801-136926.dzi
635076-142186,"Allsarpasjön",3-6429_Allsarpasjön_635076-142186.tif,svar/zips/Allsarpasj_n/635076-142186-kartor/web/tiles-3-6429_Allsarpasjon_635076-142186.dzi
634690-142635,"Allgunnen",3-0841_Allgunnen_634690-142635.tif,svar/zips/Allgunnen/634690-142635-kartor/web/tiles-3-0841_Allgunnen_634690-142635.dzi
631706-151419,"Allgunnen",1-0203_Allgunnen_631706-151419.tif,svar/zips/Allgunnen/631706-151419-kartor/web/tiles-1-0203_Allgunnen_631706-151419.dzi
624352-149531,"Allsjön",3-5310_Allsjön_624352-149531.tif,svar/zips/Allsj_n/624352-149531-kartor/web/tiles-3-5310_Allsjon_624352-149531.dzi
638154-142863,"Almesåkragölen",3-6497_Almesåkragölen_638154-142863.jpg,svar/zips/Almes_krag_len/638154-142863-kartor/web/tiles-3-6497_Almesakragolen_638154-142863.dzi
623935-135724,"Algustorpasjön",3-5843_Algustorpasjön_623935-135724c.tif,svar/zips/Algustorpasj_n/623935-135724-kartor/web/tiles-3-5843_Algustorpasjon_623935-135724c.dzi
638020-142802,"Almesåkrasjön",3-3401_Almesåkrasjön_638020-142802.tif,svar/zips/Almes_krasj_n/638020-142802-kartor/web/tiles-3-3401_Almesakrasjon_638020-142802.dzi
634690-142635,"Allgunnen",3-2604_Allgunnen_634690-142635.tif,svar/zips/Allgunnen/634690-142635-kartor/web/tiles-3-2604_Allgunnen_634690-142635.dzi
642489-151724,"Allgjuttern",5-1053_Allgjuttern_642489-151724.jpg,svar/zips/Allgjuttern/642489-151724-kartor/web/tiles-5-1053_Allgjuttern_642489-151724.dzi
635076-142186,"Allsarpasjön",5-0003_Allsarpasjön_635076-142186.pdf,svar/zips/Allsarpasj_n/635076-142186-kartor/web/tiles-5-0003_Allsarpasjon_635076-142186.dzi
631706-151419,"Allgunnen",3-2359a_Allgunnen_631706-151419.tif,svar/zips/Allgunnen/631706-151419-kartor/web/tiles-3-2359a_Allgunnen_631706-151419.dzi
656412-158952,"Almsjön",3-1789_Almsjön_656412-158952.tif,svar/zips/Almsj_n/656412-158952-kartor/web/tiles-3-1789_Almsjon_656412-158952.dzi
638154-142863,"Almesåkragölen",3-6497_Almesåkragölen_638154-142863.tif,svar/zips/Almes_krag_len/638154-142863-kartor/web/tiles-3-6497_Almesakragolen_638154-142863.dzi
650527-125025,"Alnässjön",3-2565_Alnässjön_650527-125025.tif,svar/zips/Aln_ssj_n/650527-125025-kartor/web/tiles-3-2565_Alnassjon_650527-125025.dzi
628637-148699,"Alsbogöl",5-0466_Alsbogöl_628637-148699.tif,svar/zips/Alsbog_l/628637-148699-kartor/web/tiles-5-0466_Alsbogol_628637-148699.dzi
634531-148678,"Almten",3-3429_Almten_634531-148678.tif,svar/zips/Almten/634531-148678-kartor/web/tiles-3-3429_Almten_634531-148678.dzi
623935-135724,"Algustorpasjön",3-5843_Algustorpasjön_623935-135724d.tif,svar/zips/Algustorpasj_n/623935-135724-kartor/web/tiles-3-5843_Algustorpasjon_623935-135724d.dzi
631903-147605,"Alstern",2-0302_Alstern_631903-147605.tif,svar/zips/Alstern/631903-147605-kartor/web/tiles-2-0302_Alstern_631903-147605.dzi
631706-151419,"Allgunnen",3-2359b_Allgunnen_631706-151419.tif,svar/zips/Allgunnen/631706-151419-kartor/web/tiles-3-2359b_Allgunnen_631706-151419.dzi
633721-133299,"Alvhagasjön",3-6647_Alvhagasjön_633721-133299.jpg,svar/zips/Alvhagasj_n/633721-133299-kartor/web/tiles-3-6647_Alvhagasjon_633721-133299.dzi
629793-133135,"Amsjön",3-5098_Amsjön_629793-133135.tif,svar/zips/Amsj_n/629793-133135-kartor/web/tiles-3-5098_Amsjon_629793-133135.dzi
641021-151421,"Anen",2-0374_Anen_641021-151421b.tif,svar/zips/Anen/641021-151421-kartor/web/tiles-2-0374_Anen_641021-151421b.dzi
641350-138085,"Andsjön",3-5718_Andsjön_641350-138085.tif,svar/zips/Andsj_n/641350-138085-kartor/web/tiles-3-5718_Andsjon_641350-138085.dzi
631706-151419,"Allgunnen",3-2359c_Allgunnen_631706-151419.tif,svar/zips/Allgunnen/631706-151419-kartor/web/tiles-3-2359c_Allgunnen_631706-151419.dzi
634177-137086,"Annebergssjön",2-1105_Annebergssjön_634177-137086.jpg,svar/zips/Annebergssj_n/634177-137086-kartor/web/tiles-2-1105_Annebergssjon_634177-137086.dzi
633721-133299,"Alvhagasjön",3-6647_Alvhagasjön_633721-133299.tif,svar/zips/Alvhagasj_n/633721-133299-kartor/web/tiles-3-6647_Alvhagasjon_633721-133299.dzi
639211-138501,"Angsjön",3-5731_Angsjön_639211-138501.tif,svar/zips/Angsj_n/639211-138501-kartor/web/tiles-3-5731_Angsjon_639211-138501.dzi
643499-130158,"Anten",2-0192_Anten_643499-130158.tif,svar/zips/Anten/643499-130158-kartor/web/tiles-2-0192_Anten_643499-130158.dzi
631706-151419,"Allgunnen",3-2359e_Allgunnen_631706-151419.tif,svar/zips/Allgunnen/631706-151419-kartor/web/tiles-3-2359e_Allgunnen_631706-151419.dzi
638496-133184,"Apelnässjön",3-4765_Apelnäsasjön_638496-133184.tif,svar/zips/Apeln_ssj_n/638496-133184-kartor/web/tiles-3-4765_Apelnasasjon_638496-133184.dzi
634382-134507,"Angsåssjön",3-2547_Angsåssjön_634382-134507.tif,svar/zips/Angs_ssj_n/634382-134507-kartor/web/tiles-3-2547_Angsassjon_634382-134507.dzi
634177-137086,"Annebergssjön",2-1105_Annebergssjön_634177-137086.tif,svar/zips/Annebergssj_n/634177-137086-kartor/web/tiles-2-1105_Annebergssjon_634177-137086.dzi
623935-135724,"Algustorpasjön",3-5843_Algustorpasjön_623935-135724e.tif,svar/zips/Algustorpasj_n/623935-135724-kartor/web/tiles-3-5843_Algustorpasjon_623935-135724e.dzi
627808-148918,"Alsjösjön",5-0485_Alsjösjön_627808-148918.tif,svar/zips/Alsj_sj_n/627808-148918-kartor/web/tiles-5-0485_Alsjosjon_627808-148918.dzi
631690-145084,"Are Sjö",3-6335_Are sjö_631690-145084.jpg,svar/zips/Are_Sj_/631690-145084-kartor/web/tiles-3-6335_Are_sjo_631690-145084.dzi
621463-139472,"Araslövssjön",2-0165_Araslövssjön_621463-139472.tif,svar/zips/Arasl_vssj_n/621463-139472-kartor/web/tiles-2-0165_Araslovssjon_621463-139472.dzi
645272-127556,"Arsjön",2-1125_Arsjön_645272-127556.jpg,svar/zips/Arsj_n/645272-127556-kartor/web/tiles-2-1125_Arsjon_645272-127556.dzi
633199-150916,"Arvesjön",3-4026_Arvesjö_633199-150916.tif,svar/zips/Arvesj_n/633199-150916-kartor/web/tiles-3-4026_Arvesjo_633199-150916.dzi
634671-135061,"Arvidabosjön",3-5687_Arvidabosjön_634671-135061.tif,svar/zips/Arvidabosj_n/634671-135061-kartor/web/tiles-3-5687_Arvidabosjon_634671-135061.dzi
623935-135724,"Algustorpasjön",3-5843_Algustorpasjön_623935-135724f.tif,svar/zips/Algustorpasj_n/623935-135724-kartor/web/tiles-3-5843_Algustorpasjon_623935-135724f.dzi
623903-147242,"Arvidstorpasjön",3-0769_Arvidstorpasjön_623903-147242.tif,svar/zips/Arvidstorpasj_n/623903-147242-kartor/web/tiles-3-0769_Arvidstorpasjon_623903-147242.dzi
645272-127556,"Arsjön",2-1125_Arsjön_645272-127556.tif,svar/zips/Arsj_n/645272-127556-kartor/web/tiles-2-1125_Arsjon_645272-127556.dzi
633151-143906,"Asasjön",2-0156_Asasjön_633151-143906.tif,svar/zips/Asasj_n/633151-143906-kartor/web/tiles-2-0156_Asasjon_633151-143906.dzi
634671-135061,"Arvidabosjön",5-1042_Arvidabosjön_634671-135061.pdf,svar/zips/Arvidabosj_n/634671-135061-kartor/web/tiles-5-1042_Arvidabosjon_634671-135061.dzi
655977-128851,"Askesjö",1-0145_Askesjö_655977-128851.tif,svar/zips/Askesj_/655977-128851-kartor/web/tiles-1-0145_Askesjo_655977-128851.dzi
638960-138667,"Arvegöl",3-6304_Arvegöl_638960-138667.tif,svar/zips/Arveg_l/638960-138667-kartor/web/tiles-3-6304_Arvegol_638960-138667.dzi
630174-135566,"Askaken",1-0136_Askaken_630174-135566.tif,svar/zips/Askaken/630174-135566-kartor/web/tiles-1-0136_Askaken_630174-135566.dzi
631690-145084,"Are Sjö",3-6335_Are sjö_631690-145084.tif,svar/zips/Are_Sj_/631690-145084-kartor/web/tiles-3-6335_Are_sjo_631690-145084.dzi
640873-128461,"Aspen",2-0193_Aspen_640873-128461.tif,svar/zips/Aspen/640873-128461-kartor/web/tiles-2-0193_Aspen_640873-128461.dzi
655805-151808,"Aspen",3-5616_Aspen_655805-151808.tif,svar/zips/Aspen/655805-151808-kartor/web/tiles-3-5616_Aspen_655805-151808.dzi
635194-135286,"Assbrunnen",3-2543_Assbrunnen_635194-135286.tif,svar/zips/Assbrunnen/635194-135286-kartor/web/tiles-3-2543_Assbrunnen_635194-135286.dzi
639156-138473,"Assarebosjön",3-5728_Assarebosjön_639156-138473.tif,svar/zips/Assarebosj_n/639156-138473-kartor/web/tiles-3-5728_Assarebosjon_639156-138473.dzi
646478-126123,"Assmunderödvatten",3-4248_Assmunderödvatten_646478-126123.tif,svar/zips/Assmunder_dvatten/646478-126123-kartor/web/tiles-3-4248_Assmunderodvatten_646478-126123.dzi
635435-165645,"Asträsk",3-3006_Asträsk_635435-165645.tif,svar/zips/Astr_sk/635435-165645-kartor/web/tiles-3-3006_Astrask_635435-165645.dzi
638622-145301,"Assjön",3-5199_Assjön_638622-145301.tif,svar/zips/Assj_n/638622-145301-kartor/web/tiles-3-5199_Assjon_638622-145301.dzi
650303-125353,"Aspe",3-1566_Aspen_650303-125353.tif,svar/zips/Aspe/650303-125353-kartor/web/tiles-3-1566_Aspen_650303-125353.dzi
653008-148798,"Avern",5-0170_Avern_653008-148798.tif,svar/zips/Avern/653008-148798-kartor/web/tiles-5-0170_Avern_653008-148798.dzi
639156-138473,"Assarebosjön",5-0004_Assarebosjön_639156-138473.pdf,svar/zips/Assarebosj_n/639156-138473-kartor/web/tiles-5-0004_Assarebosjon_639156-138473.dzi
640873-128461,"Aspen",2-0569_Aspen_640873-128461.tif,svar/zips/Aspen/640873-128461-kartor/web/tiles-2-0569_Aspen_640873-128461.dzi
628913-133942,"Attavarasjön",3-5095_Attavarasjön_628913-133942.tif,svar/zips/Attavarasj_n/628913-133942-kartor/web/tiles-3-5095_Attavarasjon_628913-133942.dzi
624307-146379,"Avesjön",3-3177_Avesjön_624307-146379.tif,svar/zips/Avesj_n/624307-146379-kartor/web/tiles-3-3177_Avesjon_624307-146379.dzi
633379-150071,"Avesjö",3-6162_Avesjö_633379-150071a.tif,svar/zips/Avesj_/633379-150071-kartor/web/tiles-3-6162_Avesjo_633379-150071a.dzi
650303-125353,"Aspe",3-2553_Aspen_650303-125353.tif,svar/zips/Aspe/650303-125353-kartor/web/tiles-3-2553_Aspen_650303-125353.dzi
634477-148733,"Avesjön",3-3789_Avesjö_634477-148733a.tif,svar/zips/Avesj_n/634477-148733-kartor/web/tiles-3-3789_Avesjo_634477-148733a.dzi
640721-139670,"Axamosjön",3-0715_Axamosjön_640721-139670.tif,svar/zips/Axamosj_n/640721-139670-kartor/web/tiles-3-0715_Axamosjon_640721-139670.dzi
640873-128461,"Aspen",3-0929_Aspen_640873-128461.tif,svar/zips/Aspen/640873-128461-kartor/web/tiles-3-0929_Aspen_640873-128461.dzi
634332-149039,"Axebo Sjö",2-0360_Axebo sjö_634332-149039a.tif,svar/zips/Axebo_Sj_/634332-149039-kartor/web/tiles-2-0360_Axebo_sjo_634332-149039a.dzi
634477-148733,"Avesjön",3-3789_Avesjö_634477-148733b.tif,svar/zips/Avesj_n/634477-148733-kartor/web/tiles-3-3789_Avesjo_634477-148733b.dzi
639859-153243,"Axsjön",3-3368_Axsjön_639859-153243.tif,svar/zips/Axsj_n/639859-153243-kartor/web/tiles-3-3368_Axsjon_639859-153243.dzi
655971-161637,"Axaren",3-6615_Axaren__655971-161637.pdf,svar/zips/Axaren/655971-161637-kartor/web/tiles-3-6615_Axaren_655971-161637.dzi
640721-139670,"Axamosjön",3-5717_Axamosjön_640721-139670.tif,svar/zips/Axamosj_n/640721-139670-kartor/web/tiles-3-5717_Axamosjon_640721-139670.dzi
634332-149039,"Axebo Sjö",2-0360_Axebo sjö_634332-149039b.tif,svar/zips/Axebo_Sj_/634332-149039-kartor/web/tiles-2-0360_Axebo_sjo_634332-149039b.dzi
654382-157757,"Axsjön",3-1777_Axsjön_654382-157757.tif,svar/zips/Axsj_n/654382-157757-kartor/web/tiles-3-1777_Axsjon_654382-157757.dzi
649652-148582,"Axsjön",3-2998_Axsjön_649652-148582.tif,svar/zips/Axsj_n/649652-148582-kartor/web/tiles-3-2998_Axsjon_649652-148582.dzi
655785-158616,"Axsjön",3-4390_Axsjön_655785-158616.tif,svar/zips/Axsj_n/655785-158616-kartor/web/tiles-3-4390_Axsjon_655785-158616.dzi
652370-125789,"Backetjärn",3-1914_Backetjärn_652370-125789.tif,svar/zips/Backetj_rn/652370-125789-kartor/web/tiles-3-1914_Backetjarn_652370-125789.dzi
636121-133870,"Ballasjön",3-4747_Ballasjön_636121-133870.tif,svar/zips/Ballasj_n/636121-133870-kartor/web/tiles-3-4747_Ballasjon_636121-133870.dzi
655971-161637,"Axaren",3-6615_Axaren__655971-161637.tif,svar/zips/Axaren/655971-161637-kartor/web/tiles-3-6615_Axaren_655971-161637.dzi
633379-150071,"Avesjö",3-6162_Avesjö_633379-150071b.tif,svar/zips/Avesj_/633379-150071-kartor/web/tiles-3-6162_Avesjo_633379-150071b.dzi
628699-133371,"Balasjön",3-4689_Balasjön_628699-133371.tif,svar/zips/Balasj_n/628699-133371-kartor/web/tiles-3-4689_Balasjon_628699-133371.dzi
639870-130407,"Ballasjön",2-0661_Ballasjön_639870-130407.tif,svar/zips/Ballasj_n/639870-130407-kartor/web/tiles-2-0661_Ballasjon_639870-130407.dzi
624513-142812,"Baggamålasjön",3-2641_Baggamålasjön_624513-142812.tif,svar/zips/Baggam_lasj_n/624513-142812-kartor/web/tiles-3-2641_Baggamalasjon_624513-142812.dzi
634751-130909,"Barken",3-2411_Barken_634751-130909.tif,svar/zips/Barken/634751-130909-kartor/web/tiles-3-2411_Barken_634751-130909.dzi
640005-140314,"Barnarpasjön",3-0716_Barnarpsjön_640005-140314.tif,svar/zips/Barnarpasj_n/640005-140314-kartor/web/tiles-3-0716_Barnarpsjon_640005-140314.dzi
633379-150071,"Avesjö",3-6162_Avesjö_633379-150071c.tif,svar/zips/Avesj_/633379-150071-kartor/web/tiles-3-6162_Avesjo_633379-150071c.dzi
621974-134428,"Bandsjön",3-2594_Bandsjön_621974-134428.tif,svar/zips/Bandsj_n/621974-134428-kartor/web/tiles-3-2594_Bandsjon_621974-134428.dzi
630317-144217,"Barnsjön",3-4697_Barnsjön_630317-144217.tif,svar/zips/Barnsj_n/630317-144217-kartor/web/tiles-3-4697_Barnsjon_630317-144217.dzi
653947-130115,"Ballsjön",3-1723_Ballsjön_653947-130115.tif,svar/zips/Ballsj_n/653947-130115-kartor/web/tiles-3-1723_Ballsjon_653947-130115.dzi
633364-138065,"Barnasjön",3-6350_Barnasjön_633364-138065.jpg,svar/zips/Barnasj_n/633364-138065-kartor/web/tiles-3-6350_Barnasjon_633364-138065.dzi
623417-149098,"Bastasjön",3-5311_Bastasjön_623417-149098.tif,svar/zips/Bastasj_n/623417-149098-kartor/web/tiles-3-5311_Bastasjon_623417-149098.dzi
633379-150071,"Avesjö",3-6162_Avesjö_633379-150071d.tif,svar/zips/Avesj_/633379-150071-kartor/web/tiles-3-6162_Avesjo_633379-150071d.dzi
640005-140314,"Barnarpasjön",3-6456_Barnarpasjön_640005-140314.jpg,svar/zips/Barnarpasj_n/640005-140314-kartor/web/tiles-3-6456_Barnarpasjon_640005-140314.dzi
634751-130909,"Barken",3-6566_Barken_634751-130909.jpg,svar/zips/Barken/634751-130909-kartor/web/tiles-3-6566_Barken_634751-130909.dzi
621974-134428,"Bandsjön",3-6576_Bandsjön_621974-134428.jpg,svar/zips/Bandsj_n/621974-134428-kartor/web/tiles-3-6576_Bandsjon_621974-134428.dzi
633148-144162,"Bastesjön",3-0794_Bastesjön_633148-144162.tif,svar/zips/Bastesj_n/633148-144162-kartor/web/tiles-3-0794_Bastesjon_633148-144162.dzi
630317-144217,"Barnsjön",3-6619_Barnsjön_630317-144217.jpg,svar/zips/Barnsj_n/630317-144217-kartor/web/tiles-3-6619_Barnsjon_630317-144217.dzi
634350-153086,"Bastgölen",3-2757_Bastgölen_634350-153086.tif,svar/zips/Bastg_len/634350-153086-kartor/web/tiles-3-2757_Bastgolen_634350-153086.dzi
633379-150071,"Avesjö",3-6162_Avesjö_633379-150071e.tif,svar/zips/Avesj_/633379-150071-kartor/web/tiles-3-6162_Avesjo_633379-150071e.dzi
634751-130909,"Barken",3-6566_Barken_634751-130909.tif,svar/zips/Barken/634751-130909-kartor/web/tiles-3-6566_Barken_634751-130909.dzi
627391-149575,"Bastsjön",5-0454_Bastsjön_627391-149575a.tif,svar/zips/Bastsj_n/627391-149575-kartor/web/tiles-5-0454_Bastsjon_627391-149575a.dzi
640005-140314,"Barnarpasjön",3-6456_Barnarpasjön_640005-140314.tif,svar/zips/Barnarpasj_n/640005-140314-kartor/web/tiles-3-6456_Barnarpasjon_640005-140314.dzi
621974-134428,"Bandsjön",3-6576_Bandsjön_621974-134428.tif,svar/zips/Bandsj_n/621974-134428-kartor/web/tiles-3-6576_Bandsjon_621974-134428.dzi
630317-144217,"Barnsjön",3-6619_Barnsjön_630317-144217.tif,svar/zips/Barnsj_n/630317-144217-kartor/web/tiles-3-6619_Barnsjon_630317-144217.dzi
633364-138065,"Barnasjön",3-6350_Barnasjön_633364-138065.tif,svar/zips/Barnasj_n/633364-138065-kartor/web/tiles-3-6350_Barnasjon_633364-138065.dzi
633379-150071,"Avesjö",3-6162_Avesjö_633379-150071f.tif,svar/zips/Avesj_/633379-150071-kartor/web/tiles-3-6162_Avesjo_633379-150071f.dzi
654846-164757,"Bastumaren",5-0182_Bastumaren_654846-164757.tif,svar/zips/Bastumaren/654846-164757-kartor/web/tiles-5-0182_Bastumaren_654846-164757.dzi
634751-130909,"Barken",5-0994_Barken_634751-130909.pdf,svar/zips/Barken/634751-130909-kartor/web/tiles-5-0994_Barken_634751-130909.dzi
627391-149575,"Bastsjön",5-0454_Bastsjön_627391-149575b.tif,svar/zips/Bastsj_n/627391-149575-kartor/web/tiles-5-0454_Bastsjon_627391-149575b.dzi
642035-131965,"Baståsasjön",3-6617_Baståsasjön_642035-131965.jpg,svar/zips/Bast_sasj_n/642035-131965-kartor/web/tiles-3-6617_Bastasasjon_642035-131965.dzi
